resource_type,link_text,url,source_page,saved_path,error
program_or_advising_worksheet,Program Worksheet - for students who started in Spring 2025 or earlier,https://www.fau.edu/engineering/eecs/pdf/ms-in-computer-science-program-worksheet-6-2025.pdf,https://www.fau.edu/engineering/eecs/graduate/ms/computer-science/courses/,DepCourseInfo\downloaded_forms_and_worksheets\ms-in-computer-science-program-worksheet-6-2025.pdf,
program_or_advising_worksheet,Program Worksheet - for Students who started in Summer 2025 or later,https://www.fau.edu/engineering/eecs/pdf/ms-cse-worksheet-new.pdf,https://www.fau.edu/engineering/eecs/graduate/ms/computer-science/courses/,DepCourseInfo\downloaded_forms_and_worksheets\ms-cse-worksheet-new.pdf,
research_dis_thesis_dissertation,Potential Conflict of Interest Disclosure,https://www.fau.edu/engineering/eecs/pdf/eecs-eac-conflict-of-interest.pdf,https://www.fau.edu/engineering/eecs/research/industry-advisory/,DepCourseInfo\downloaded_forms_and_worksheets\eecs-eac-conflict-of-interest.pdf,
syllabus,CAP 4028 Game Programming,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cap4028game-programming.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cap4028game-programming.pdf,
syllabus,CAP 4034 Computer Animation,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cap4034computer-animation.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cap4034computer-animation.pdf,
syllabus,CAP 4401 Digital Image Processing,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cap4401digital-img-processing.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cap4401digital-img-processing.pdf,
syllabus,CAP 4630 Artificial Intelligence,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cap4630artificial-intelligence.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cap4630artificial-intelligence.pdf,
syllabus,CAP 4770 Introdution Data Mining and Machine Intelligence,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cap4770intro-data-mining-machine-intelligence.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cap4770intro-data-mining-machine-intelligence.pdf,
syllabus,CDA 3201C Introduction to Logic Design,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cda3201c-intro-logic-design.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cda3201c-intro-logic-design.pdf,
syllabus,CDA 3331C Introduction to Microprocessor System,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cda3331c-intro-microprocessor-system.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cda3331c-intro-microprocessor-system.pdf,
syllabus,CDA 4102 Structured Computer Architecture,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cda4102structured-computer-architecture.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cda4102structured-computer-architecture.pdf,
syllabus,CDA 4204 CAD-Based Computer Design,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cda4204cad-based-computer-design.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cda4204cad-based-computer-design.pdf,
syllabus,CDA 4210 Introduction to VLSI Design,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cda4210intro-vlsi-design.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cda4210intro-vlsi-design.pdf,
syllabus,CDA 4630 Introduction to Embedded Systems,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cda4630intro-embedded-systems.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cda4630intro-embedded-systems.pdf,
syllabus,CEN 4010 Principles of Software Engineering,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cen4010principles-sw-engineering.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cen4010principles-sw-engineering.pdf,
syllabus,CEN 4214 Software Hardware Co-Design,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cen4214sw-hw-co-design.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cen4214sw-hw-co-design.pdf,
syllabus,CEN 4400 Introduction to Computer Systems Performance Evaluation,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cen4400intro-computersystems-perf-eval.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cen4400intro-computersystems-perf-eval.pdf,
syllabus,CGS 1570 Computer Applications 1,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cgs1570computer-apps1.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cgs1570computer-apps1.pdf,
syllabus,CGS 1571 Computer Applications 2,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cgs1571computer-app2.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cgs1571computer-app2.pdf,
syllabus,CNT 4104 Introduction to Data Communications,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cnt4104intro-data-comm.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cnt4104intro-data-comm.pdf,
syllabus,CNT 4403 Introduction to Data and Network Security,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cnt4403intro-data-network-security.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cnt4403intro-data-network-security.pdf,
syllabus,COP 2220 Introduction to Programming in C,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cop2220intro-programming-c.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cop2220intro-programming-c.pdf,
syllabus,COP 3014 Foundations of Computer Science,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cop3014foundations-cs.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cop3014foundations-cs.pdf,
syllabus,COP 3014L Foundation of Computer Science Lab,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cop3014l-foundationcs-lab.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cop3014l-foundationcs-lab.pdf,
syllabus,COP 3530 Data Structures and Algorithm Analysis,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cop3530data-structures-algorithm-analysis.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cop3530data-structures-algorithm-analysis.pdf,
syllabus,COP 3540 Introduction to Database Structures,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cop3540intro-database-structures.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cop3540intro-database-structures.pdf,
syllabus,COP 3813 Introduction to Internet Computing,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cop3813intro-internet-computing.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cop3813intro-internet-computing.pdf,
syllabus,COP 4020 Programming Languages,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cop4020programming-languages.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cop4020programming-languages.pdf,
syllabus,COP 4045 Python Programming,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cop4045python-programming.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cop4045python-programming.pdf,
syllabus,COP 4331 Object Oriented Design and Programming,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cop4331object-oriented-design.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cop4331object-oriented-design.pdf,
syllabus,COP 4367 Graphical Application Development,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cop4367graphical-app-dev.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cop4367graphical-app-dev.pdf,
syllabus,COP 4593 Component Programming with .NET,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cop4593comp-programming.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cop4593comp-programming.pdf,
syllabus,COP 4610 Computer Operating Systems,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cop4610computer-op-systems.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cop4610computer-op-systems.pdf,
syllabus,COP 4703 Applied Database Systems,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cop4703applied-database-systems.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cop4703applied-database-systems.pdf,
syllabus,COP 4814 Web Services,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cop4814web-services.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cop4814web-services.pdf,
syllabus,COP 4854 Cutting-Edge Web Technologies,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cop4854cutting-edge-web-technologies.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cop4854cutting-edge-web-technologies.pdf,
syllabus,COT 4400 Design and Analysis of Algorithms,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cot4400design-analysis-algorithms.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cot4400design-analysis-algorithms.pdf,
syllabus,COT 4420 Formal Languages and Automata Theory,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cot4420formal-languages.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cot4420formal-languages.pdf,
syllabus,COT 4930 Applied Cryptography,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cot4930applied-cryptography.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cot4930applied-cryptography.pdf,
syllabus,COT 4930 Cryptographic Engineering,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cot4930cryptographic-eng.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cot4930cryptographic-eng.pdf,
syllabus,COT 4930 Introduction to Security and Cryptography,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cot4930intro-security-cryptography.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cot4930intro-security-cryptography.pdf,
syllabus,COT 4930 Randomized Algorithms,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cot4930randomized-algorithms.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cot4930randomized-algorithms.pdf,
syllabus,COT 4935 Senior Seminar,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cot4935sr-seminar.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cot4935sr-seminar.pdf,
syllabus,EGN 4410C Engineering Design I,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/egn4410c-eng-design1.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\egn4410c-eng-design1.pdf,
syllabus,EGN 4411C Engineering Design II,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/egn4411c-eng-design2.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\egn4411c-eng-design2.pdf,
syllabus,MAP 4260 Introduction to Queueing Theory,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/map4260intro-queueing-theory.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\map4260intro-queueing-theory.pdf,
syllabus,STA 4821 Stochastic Models for Computer Science,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/sta4821stochastic-models-cs.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\sta4821stochastic-models-cs.pdf,
syllabus,EEE 3300 Electronics 1,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eee3300electronics1.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eee3300electronics1.pdf,
syllabus,EEE 4360C High Frequency Amplifiers,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eee4360c-high-frequency-amplifiers.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eee4360c-high-frequency-amplifiers.pdf,
syllabus,EEE 4361 Electronics 2,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eee4361electronics2.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eee4361electronics2.pdf,
syllabus,EEE 4434 Nanobiotechnology,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eee4434nanobiotechnology.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eee4434nanobiotechnology.pdf,
syllabus,EEE 4510 Introduction to Digital Signal Processing,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eee4510digital-signal-processing.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eee4510digital-signal-processing.pdf,
syllabus,EEE 4541 Stochastic Processes and Random Signals,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eee4541stochastic-processes.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eee4541stochastic-processes.pdf,
syllabus,EEL 2161 C for Engineers,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel2161c-engineers.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel2161c-engineers.pdf,
syllabus,EEL 3012 Electrical Engineering Practice,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel3012ee-practice.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel3012ee-practice.pdf,
syllabus,EEL 3111 Circuits 1,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel3111circuits1.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel3111circuits1.pdf,
syllabus,EEL 3112 Circuits 2,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel3112circuits2.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel3112circuits2.pdf,
syllabus,EEL 3118L Lab 1,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel3118l-lab1.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel3118l-lab1.pdf,
syllabus,EEL 3470 Electromagnetic Field and Waves,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel3470electromagnetic.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel3470electromagnetic.pdf,
syllabus,EEL 4119L Lab 2,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel4119l-lab2.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel4119l-lab2.pdf,
syllabus,EEL 4216 Electric Power Systems,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel4216electric-power-systems.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel4216electric-power-systems.pdf,
syllabus,EEL 4220 Electrical Machines,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel4220electrical-machines.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel4220electrical-machines.pdf,
syllabus,EEL 4281 Photovoltaic Power Systems,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel4281photovoltaic-power.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel4281photovoltaic-power.pdf,
syllabus,EEL 4421C RF Devices and Circuits,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel4421c-rf-devices-circuits.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel4421c-rf-devices-circuits.pdf,
syllabus,EEL 4433C RF and Microwave Laboratory,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel4433c-rf-microwave-laboratory.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel4433c-rf-microwave-laboratory.pdf,
syllabus,EEL 4436 Microwave Engineering,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel4436microwave-engineering.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel4436microwave-engineering.pdf,
syllabus,EEL 4461 Introduction to Antenna Theory,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel4461intro-antenna.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel4461intro-antenna.pdf,
syllabus,EEL 4478 Electromagnetic Compatibility,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel4478electromagnetic.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel4478electromagnetic.pdf,
syllabus,EEL 4510 Introduction to Digital Signal Processing,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel4510intro-digital-signal-processing.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel4510intro-digital-signal-processing.pdf,
syllabus,EEL 4512 Communication Systems,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel4512comm-systems.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel4512comm-systems.pdf,
syllabus,EEL 4512L Communication Systems Lab,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel4512l-comm-systems-lab.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel4512l-comm-systems-lab.pdf,
syllabus,EEL 4652 Control Systems 1,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel4652control-systems1.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel4652control-systems1.pdf,
syllabus,EEL 4652L Control Systems Lab,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel4652l-control-systems-lab.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel4652l-control-systems-lab.pdf,
syllabus,EEL 4656 Analysis of Linear Systems,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel4656analysis-linear-systems.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel4656analysis-linear-systems.pdf,
syllabus,EEL 4746 Introduction to Microcontrollers and Lab,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel4746intro-microcontrollers-and-lab.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel4746intro-microcontrollers-and-lab.pdf,
syllabus,EEL 4930 Innovative Product Design,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel4930innovative-product.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel4930innovative-product.pdf,
syllabus,EEL 4930 Renewable Energy Systems,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel4930renewable-energy.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel4930renewable-energy.pdf,
syllabus,EEL 4930 Silicon IC Fabrication,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel4930silicon-ic-fab.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel4930silicon-ic-fab.pdf,
syllabus,EGN 1002 Fundamentals of Engineering,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/egn1002fundamentals.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\egn1002fundamentals.pdf,
