query_id,rank,bm25_doc_id,bm25_score,dense_doc_id,dense_score
q01,1,pdf_0513_professional-ai-certificate-program-application::chunk_001,56.2046,pdf_0281_artificial-intelligence-certificate-program-application-jan6::chunk_001,0.7207
q01,2,pdf_0514_professional-certificate-ai-worksheet::chunk_001,54.9055,pdf_0513_professional-ai-certificate-program-application::chunk_001,0.7199
q01,3,pdf_0341_certificate-artificial--intelligence-program-application::chunk_001,42.9308,pdf_0514_professional-certificate-ai-worksheet::chunk_001,0.71
q01,4,pdf_0281_artificial-intelligence-certificate-program-application-jan6::chunk_001,42.3594,pdf_0341_certificate-artificial--intelligence-program-application::chunk_001,0.7076
q01,5,pdf_0515_professional-certificate-big-data-analytics-application::chunk_001,40.6248,pdf_0343_certificate-artificial-intelligence-program-worksheet::chunk_001,0.6876
q02,1,pdf_0483_minor--artificial-intelligence-application::chunk_001,54.5321,pdf_0282_artificial-intelligence-minor-program-application-jan6::chunk_001,0.7636
q02,2,pdf_0282_artificial-intelligence-minor-program-application-jan6::chunk_001,53.1903,pdf_0483_minor--artificial-intelligence-application::chunk_001,0.755
q02,3,pdf_0279_artificial-inteligence-minor-worksheet-jan6::chunk_001,44.6693,pdf_0279_artificial-inteligence-minor-worksheet-jan6::chunk_001,0.7189
q02,4,pdf_0342_certificate-artificial-intelligence--program-worksheet::chunk_001,40.5448,pdf_0342_certificate-artificial-intelligence--program-worksheet::chunk_001,0.7001
q02,5,pdf_0484_minor-in-business-application::chunk_001,39.9807,pdf_0281_artificial-intelligence-certificate-program-application-jan6::chunk_001,0.6934
q03,1,pdf_0516_professional-certificate-big-data-analytics-worksheet::chunk_001,78.1163,pdf_0515_professional-certificate-big-data-analytics-application::chunk_001,0.7306
q03,2,pdf_0515_professional-certificate-big-data-analytics-application::chunk_001,74.6555,pdf_0344_certificate-big-data-analytics-application::chunk_001,0.7126
q03,3,pdf_0344_certificate-big-data-analytics-application::chunk_001,66.2335,pdf_0516_professional-certificate-big-data-analytics-worksheet::chunk_001,0.7099
q03,4,pdf_0283_big-data-analytics-cert-program-worksheet::chunk_001,59.5676,pdf_0283_big-data-analytics-cert-program-worksheet::chunk_001,0.7033
q03,5,course_0035_CAP_6776::chunk_001,57.2804,course_0035_CAP_6776::chunk_001,0.669
q04,1,pdf_0491_ms-cse-worksheet-new::chunk_002,38.4333,pdf_0504_ms-phd-computer-science-worksheet12.09.2025::chunk_002,0.7276
q04,2,pdf_0520_professional-ms-cs-worksheet::chunk_001,33.9447,pdf_0520_professional-ms-cs-worksheet::chunk_001,0.7266
q04,3,pdf_0522_professional-ms-itm-csda-concentration-worksheet::chunk_001,32.1621,pdf_0497_ms-in-computer-science-program-worksheet-6-2025::chunk_002,0.7188
q04,4,pdf_0519_professional-ms-ai-worksheet::chunk_001,31.5777,pdf_0490_ms-computer-science-with-minor-in-business-worksheet::chunk_001,0.7176
q04,5,pdf_0521_professional-ms-itm-adv-info-tech-concentration-worksheet::chunk_001,30.3757,pdf_0285_bs-phd-computer-science-worksheet12.09.2025::chunk_002,0.7091
q05,1,pdf_0487_ms--coen-worksheet::chunk_002,29.352,pdf_0496_ms-in-computer-engineering-program-sheet-6-2025::chunk_001,0.709
q05,2,pdf_0496_ms-in-computer-engineering-program-sheet-6-2025::chunk_002,27.3797,pdf_0487_ms--coen-worksheet::chunk_002,0.7039
q05,3,pdf_0502_ms-in-information-technology-management-computer-science-dat::chunk_002,24.7853,pdf_0489_ms-computer-engineering-with-minor-in-business-worksheet::chunk_001,0.703
q05,4,pdf_0496_ms-in-computer-engineering-program-sheet-6-2025::chunk_001,24.1545,pdf_0487_ms--coen-worksheet::chunk_001,0.7026
q05,5,pdf_0487_ms--coen-worksheet::chunk_001,24.008,pdf_0496_ms-in-computer-engineering-program-sheet-6-2025::chunk_002,0.7012
q06,1,pdf_0500_ms-in-electrical-engineering-program-sheet-6-2025::chunk_002,33.816,pdf_0500_ms-in-electrical-engineering-program-sheet-6-2025::chunk_001,0.7363
q06,2,pdf_0500_ms-in-electrical-engineering-program-sheet-6-2025::chunk_001,33.1094,pdf_0499_ms-in-eel-worksheet::chunk_001,0.7158
q06,3,pdf_0496_ms-in-computer-engineering-program-sheet-6-2025::chunk_002,31.544,pdf_0495_ms-electrical-engineering-with-minor-in-business-worksheet::chunk_001,0.7119
q06,4,pdf_0495_ms-electrical-engineering-with-minor-in-business-worksheet::chunk_001,31.2141,pdf_0508_ms-to-phd-electrical-engineering-worksheet1.13.2026::chunk_002,0.7079
q06,5,pdf_0502_ms-in-information-technology-management-computer-science-dat::chunk_002,28.2286,pdf_0500_ms-in-electrical-engineering-program-sheet-6-2025::chunk_002,0.6958
q07,1,pdf_0406_cybersecurity-certificate-worksheet-2023::chunk_001,59.7974,pdf_0405_cybersecurity-certificate-program-application::chunk_001,0.7268
q07,2,pdf_0404_cyber-security-cert-program-worksheet::chunk_001,58.7019,pdf_0404_cyber-security-cert-program-worksheet::chunk_001,0.7206
q07,3,pdf_0408_cybersecurity-minor-worksheet::chunk_001,58.4552,pdf_0408_cybersecurity-minor-worksheet::chunk_001,0.7175
q07,4,pdf_0346_certificate-cyber-security-application::chunk_001,47.6779,pdf_0406_cybersecurity-certificate-worksheet-2023::chunk_001,0.7122
q07,5,pdf_0393_cot4930intro-security-cryptography::chunk_001,40.6532,pdf_0407_cybersecurity-minor-program-application::chunk_001,0.7066
q08,1,pdf_0516_professional-certificate-big-data-analytics-worksheet::chunk_001,48.9713,pdf_0409_data-science-certificate-program-application::chunk_001,0.7089
q08,2,pdf_0277_4-plus-1-itm-csda::chunk_001,42.1684,course_0008_CAP_5768::chunk_001,0.7044
q08,3,pdf_0515_professional-certificate-big-data-analytics-application::chunk_001,39.0294,pdf_0410_data-science-certificate-worksheet::chunk_001,0.7037
q08,4,pdf_0488_ms--dsa--worksheet::chunk_001,37.9685,pdf_0488_ms--dsa--worksheet::chunk_001,0.7027
q08,5,pdf_0283_big-data-analytics-cert-program-worksheet::chunk_001,36.9627,pdf_0516_professional-certificate-big-data-analytics-worksheet::chunk_001,0.7006
q09,1,pdf_0310_cap6619deep-learning::chunk_001,32.7286,pdf_0310_cap6619deep-learning::chunk_001,0.6673
q09,2,pdf_0300_cap5615intro-neural-networks::chunk_001,32.4862,course_0020_CAP_6619::chunk_001,0.6529
q09,3,pdf_0343_certificate-artificial-intelligence-program-worksheet::chunk_001,31.2318,course_0017_CAP_6618::chunk_001,0.6526
q09,4,pdf_0342_certificate-artificial-intelligence--program-worksheet::chunk_001,31.1975,course_0025_CAP_6635::chunk_001,0.6437
q09,5,course_0030_CAP_6673::chunk_001,28.7896,pdf_0309_cap6618machine-learning-computer-vision::chunk_001,0.6384
q10,1,pdf_0283_big-data-analytics-cert-program-worksheet::chunk_001,41.0477,course_0038_CAP_6778::chunk_001,0.6741
q10,2,pdf_0317_cap6780big-data-analytics::chunk_001,38.5012,pdf_0317_cap6780big-data-analytics::chunk_001,0.6692
q10,3,pdf_0305_cap6315social-networks-big-data-analytics::chunk_001,32.1912,pdf_0316_cap6778adv-data-mining-machine-learning::chunk_001,0.6653
q10,4,pdf_0315_cap6777web-mining::chunk_001,32.0254,course_0029_CAP_6673::chunk_001,0.664
q10,5,pdf_0307_cap6546Data-mining-for-bioinformatics::chunk_001,29.0601,course_0025_CAP_6635::chunk_001,0.6596
q11,1,pdf_0336_cen6027sw-maint-evolution::chunk_001,46.0922,pdf_0334_cen5035sw-eng::chunk_001,0.7117
q11,2,course_0072_COP_5339::chunk_001,44.884,pdf_0331_cen4010principles-sw-engineering::chunk_001,0.7019
q11,3,pdf_0338_cen6076sw-testing::chunk_001,41.7244,course_0047_CEN_5035::chunk_001,0.6897
q11,4,pdf_0334_cen5035sw-eng::chunk_001,40.2282,course_0051_CEN_6075::chunk_001,0.6794
q11,5,pdf_0339_cen6085sw-architecture-patterns::chunk_001,40.1023,course_0164_CEN_4010::chunk_001,0.6785
q12,1,pdf_0460_eel6291smart-grid::chunk_001,39.3009,course_0126_EEL_6297::chunk_001,0.6752
q12,2,pdf_0452_eel4930renewable-energy::chunk_001,37.765,course_0127_EEL_6468::chunk_001,0.6696
q12,3,pdf_0495_ms-electrical-engineering-with-minor-in-business-worksheet::chunk_001,32.661,pdf_0460_eel6291smart-grid::chunk_001,0.6589
q12,4,pdf_0461_eel6468smart-antennas::chunk_001,31.5478,course_0260_EEL_4512::chunk_001,0.651
q12,5,pdf_0500_ms-in-electrical-engineering-program-sheet-6-2025::chunk_002,31.2288,course_0254_EEL_4421C::chunk_001,0.6504
q13,1,pdf_0328_cda6214structured-vlsi-design::chunk_001,30.4973,pdf_0328_cda6214structured-vlsi-design::chunk_001,0.6924
q13,2,pdf_0319_cda3201c-intro-logic-design::chunk_001,21.5235,pdf_0323_cda4210intro-vlsi-design::chunk_001,0.6796
q13,3,pdf_0322_cda4204cad-based-computer-design::chunk_001,21.1506,course_0158_CDA_4210::chunk_001,0.676
q13,4,pdf_0320_cda3331c-intro-microprocessor-system::chunk_001,20.865,pdf_0322_cda4204cad-based-computer-design::chunk_001,0.6725
q13,5,pdf_0323_cda4210intro-vlsi-design::chunk_001,20.2848,course_0044_CDA_6214::chunk_001,0.6459
q14,1,pdf_0412_eecs-low-residency-phd-form::chunk_001,62.742,pdf_0411_eecs-eac-conflict-of-interest::chunk_001,0.6897
q14,2,pdf_0293_bsphd-grad-pathway-scholarship-application::chunk_001,50.0632,pdf_0493_ms-egit-csda-worksheet::chunk_002,0.6418
q14,3,pdf_0480_grad-pathway-scholarship-application::chunk_001,46.6317,pdf_0494_ms-egit-csec-worksheet::chunk_002,0.6393
q14,4,pdf_0479_grad-pathway-scholarship-application-revised::chunk_001,46.2981,pdf_0412_eecs-low-residency-phd-form::chunk_001,0.6322
q14,5,pdf_0411_eecs-eac-conflict-of-interest::chunk_001,43.9602,pdf_0492_ms-egit-ait-worksheet::chunk_002,0.6288
